INFO 2022-11-28 22:53:58,421: Started Program
INFO 2022-11-28 22:54:06,535: Program closed
INFO 2022-11-28 22:54:47,197: Started Program
INFO 2022-11-28 22:54:49,965: Program closed
INFO 2022-11-28 22:55:25,361: Started Program
INFO 2022-11-28 22:56:40,688: Started Program
INFO 2022-11-28 22:56:42,948: Program closed
INFO 2022-11-28 22:57:32,013: Started Program
INFO 2022-11-28 22:57:34,883: Program closed
INFO 2022-11-28 22:58:27,753: Started Program
INFO 2022-11-28 22:58:30,909: Program closed
INFO 2022-11-28 22:59:34,140: Started Program
INFO 2022-11-28 22:59:39,392: Program closed
INFO 2022-11-28 22:59:45,246: Started Program
INFO 2022-11-28 22:59:47,636: Program closed
INFO 2022-11-28 23:01:02,499: Started Program
INFO 2022-11-28 23:01:07,440: Program closed
INFO 2022-11-28 23:02:35,886: Started Program
INFO 2022-11-28 23:02:37,835: Program closed
INFO 2022-11-28 23:03:42,223: Started Program
INFO 2022-11-28 23:03:44,539: Program closed
INFO 2022-11-28 23:04:02,457: Started Program
INFO 2022-11-28 23:04:08,004: Program closed
INFO 2022-11-28 23:04:11,000: Started Program
INFO 2022-11-28 23:04:15,380: Program closed
INFO 2022-11-28 23:04:22,110: Started Program
INFO 2022-11-28 23:04:28,166: Program closed
INFO 2022-11-28 23:07:21,516: Started Program
INFO 2022-11-28 23:07:29,251: Program closed
INFO 2022-11-28 23:07:55,834: Started Program
INFO 2022-11-28 23:08:23,205: Program closed
INFO 2022-11-28 23:08:44,017: Started Program
INFO 2022-11-28 23:08:45,507: Program closed
INFO 2022-11-28 23:09:43,946: Started Program
INFO 2022-11-28 23:09:46,738: Program closed
INFO 2022-11-28 23:10:11,253: Started Program
INFO 2022-11-28 23:10:12,575: Program closed
INFO 2022-11-28 23:10:18,404: Started Program
INFO 2022-11-28 23:10:19,724: Program closed
INFO 2022-11-28 23:10:24,432: Started Program
INFO 2022-11-28 23:10:25,788: Program closed
INFO 2022-11-28 23:10:39,832: Started Program
INFO 2022-11-28 23:10:41,349: Program closed
INFO 2022-11-28 23:10:59,377: Started Program
INFO 2022-11-28 23:11:03,583: Program closed
INFO 2022-11-28 23:11:17,905: Started Program
INFO 2022-11-28 23:11:19,601: Program closed
INFO 2022-11-28 23:11:59,016: Started Program
INFO 2022-11-28 23:12:00,444: Program closed
INFO 2022-11-28 23:12:43,153: Started Program
INFO 2022-11-28 23:12:44,390: Program closed
INFO 2022-11-28 23:12:53,418: Started Program
INFO 2022-11-28 23:12:55,011: Program closed
INFO 2022-11-28 23:13:00,396: Started Program
INFO 2022-11-28 23:13:01,793: Program closed
INFO 2022-11-28 23:13:16,452: Started Program
INFO 2022-11-28 23:13:17,937: Program closed
INFO 2022-11-28 23:13:24,377: Started Program
INFO 2022-11-28 23:13:25,748: Program closed
INFO 2022-11-28 23:13:30,869: Started Program
INFO 2022-11-28 23:13:32,112: Program closed
INFO 2022-11-28 23:13:37,032: Started Program
INFO 2022-11-28 23:13:38,676: Program closed
INFO 2022-11-28 23:13:48,834: Started Program
INFO 2022-11-28 23:13:50,199: Program closed
INFO 2022-11-28 23:13:55,892: Started Program
INFO 2022-11-28 23:13:57,562: Program closed
INFO 2022-11-28 23:14:01,857: Started Program
INFO 2022-11-28 23:14:02,986: Program closed
INFO 2022-11-28 23:14:08,729: Started Program
INFO 2022-11-28 23:14:10,401: Program closed
INFO 2022-11-28 23:14:56,769: Started Program
INFO 2022-11-28 23:15:00,231: Program closed
INFO 2022-11-28 23:15:51,604: Started Program
INFO 2022-11-28 23:15:57,132: Program closed
INFO 2022-11-28 23:17:03,345: Started Program
INFO 2022-11-28 23:17:04,817: Program closed
INFO 2022-11-28 23:17:35,635: Started Program
INFO 2022-11-28 23:17:39,499: Program closed
